Payment_ID,Payment_Date,Payee_Code,Payee_Name,Amount_Paid,Payment_Method,Bank_Reference,Invoice_Ref,Payment_Status,Processed_By,Department_Code
PAY001,01/02/2024,VEND001,Office Supply Company,1125.00,CHECK,CHK001,INV-2024-001,PROCESSED,USR001,IT
PAY002,02/02/2024,VEND002,Cleaning Services,720.00,ACH,ACH001,INV-2024-002,PROCESSED,USR002,FAC
PAY003,03/02/2024,VEND003,Marketing Agency,4950.00,WIRE,WIRE001,INV-2024-003,PENDING,USR003,MKT
PAY004,04/02/2024,VEND004,Legal Advisors,2880.00,CHECK,CHK002,INV-2024-004,PROCESSED,USR001,LEG
PAY005,05/02/2024,VEND005,Tech Solutions,10800.00,WIRE,WIRE002,INV-2024-005,PROCESSED,USR004,IT
PAY006,07/02/2024,VEND007,Security Systems,2520.00,ACH,ACH002,INV-2024-007,PROCESSED,USR002,SEC
PAY007,08/02/2024,VEND008,Transportation,990.00,CHECK,CHK003,INV-2024-008,PROCESSED,USR003,OPS
PAY008,09/02/2024,VEND009,Equipment Rental,3375.00,ACH,ACH003,INV-2024-009,PROCESSED,USR001,OPS
PAY009,10/02/2024,VEND010,Consulting Group,7650.00,WIRE,WIRE003,INV-2024-010,PENDING,USR004,STR
PAY010,11/02/2024,VEND001,Office Supply Company,607.50,CHECK,CHK004,INV-2024-011,PROCESSED,USR002,HR
PAY011,12/02/2024,VEND011,Insurance Provider,2160.00,ACH,ACH004,INV-2024-012,PROCESSED,USR003,FIN
PAY012,15/02/2024,VEND999,Unmatched Vendor,1500.00,CHECK,CHK999,INV-MISSING,PROCESSED,USR001,OPS
PAY013,16/02/2024,VEND888,Another Unmatched,2750.00,WIRE,WIRE999,INV-UNKNOWN,PROCESSED,USR004,IT
