Statement_ID,Process_Date,Transaction_Desc,Net_Amount,Settlement_Status,Account_Number,Ref_Number,Client_Code,Location
STMT001,15/01/2024,Vendor ABC Payment,1234.56,SETTLED,ACC001,REF123,CUST001,BR01
STMT002,16/01/2024,Employee Salary,2500.01,PROCESSING,ACC002,REF124,CUST002,BR02
STMT003,17/01/2024,Customer Refund,-456.78,COMPLETE,ACC003,REF125,CUST003,BR01
STMT004,18/01/2024,Investment Xfer,10000.00,SETTLED,ACC001,REF126,CUST001,BR03
STMT005,19/01/2024,Utility Payment,234.50,REJECTED,ACC004,REF127,CUST004,BR02
STMT006,20/01/2024,Deposit from Customer,3456.78,SETTLED,ACC002,REF128,CUST002,BR01
STMT007,21/01/2024,Loan Payment,15000.00,PROCESSING,ACC005,REF129,CUST005,BR03
STMT008,22/01/2024,Credit Card Transaction,89.99,SETTLED,ACC003,REF130,CUST003,BR02
STMT009,23/01/2024,Wire Transfer Out,5678.90,COMPLETE,ACC001,REF131,CUST006,BR01
STMT010,24/01/2024,ATM Cash Withdrawal,-200.00,SETTLED,ACC004,REF132,CUST004,BR02
STMT021,05/02/2024,Unmatched Transaction,999.99,SETTLED,ACC007,REF999,CUST999,BR04
STMT022,06/02/2024,Another Unmatched,777.77,COMPLETE,ACC008,REF888,CUST888,BR05
