Trade_ID,Customer_ID,Amount,Currency,Status,Trade_Date,Settlement_Date,Counterparty,Product_Type,Region
T001,CUST001,10000.00,USD,Settled,2024-01-15,2024-01-17,Goldman Sachs,Equity,AMERICAS
T002,CUST002,25000.50,EUR,Settled,2024-01-15,2024-01-17,Morgan Stanley,Bond,EUROPE
T003,CUST003,15000.75,USD,Settled,2024-01-16,2024-01-18,JP Morgan,Equity,AMERICAS
T004,CUST004,8750.25,GBP,Settled,2024-01-16,2024-01-18,Barclays,FX,EUROPE
T006,CUST006,30000.00,EUR,Settled,2024-01-17,2024-01-19,Deutsche Bank,Equity,EUROPE
T007,CUST007,5500.50,USD,Settled,2024-01-18,2024-01-20,Wells Fargo,FX,AMERICAS
T008,CUST008,18000.25,JPY,Settled,2024-01-18,2024-01-20,Nomura,Bond,ASIA
T009,CUST009,22500.75,USD,Settled,2024-01-19,2024-01-21,Bank of America,Equity,AMERICAS
T010,CUST010,9500.00,EUR,Settled,2024-01-19,2024-01-21,UBS,FX,EUROPE
T011,CUST011,14000.50,USD,Settled,2024-01-20,2024-01-22,Credit Suisse,Bond,EUROPE
T012,CUST012,7500.25,GBP,Settled,2024-01-20,2024-01-22,HSBC,Equity,EUROPE
T013,CUST013,20000.00,USD,Settled,2024-01-21,2024-01-23,Merrill Lynch,FX,AMERICAS
T014,CUST014,16500.75,EUR,Settled,2024-01-21,2024-01-23,BNP Paribas,Bond,EUROPE
T015,CUST015,11000.00,USD,Settled,2024-01-22,2024-01-24,Societe Generale,Equity,EUROPE
T016,CUST016,28000.50,JPY,Settled,2024-01-22,2024-01-24,Mizuho,Bond,ASIA
T018,CUST018,19500.00,EUR,Settled,2024-01-23,2024-01-25,ING,Equity,EUROPE
T019,CUST019,6000.75,GBP,Settled,2024-01-24,2024-01-26,Lloyds,Bond,EUROPE
T020,CUST020,24000.00,USD,Settled,2024-01-24,2024-01-26,TD Securities,FX,AMERICAS
T021,CUST021,15000.00,USD,Settled,2024-01-25,2024-01-27,Interactive Brokers,Equity,AMERICAS
T022,CUST022,32000.50,EUR,Pending,2024-01-25,2024-01-27,Commerzbank,Bond,EUROPE
T023,CUST023,8900.25,GBP,Settled,2024-01-26,2024-01-28,Standard Chartered,FX,ASIA
T024,CUST024,21000.75,USD,Processing,2024-01-26,2024-01-28,Fidelity,Equity,AMERICAS
T025,CUST025,17500.00,JPY,Settled,2024-01-27,2024-01-29,SBI Securities,Bond,ASIA
