Statement_ID,Process_Date,Transaction_Desc,Net_Amount,Settlement_Status,Account_Number,Ref_Number,Client_Code,Location
STMT001,15/01/2024,Vendor ABC Payment,1234.56,SETTLED,ACC001,REF123,CUST001,BR01
STMT002,16/01/2024,Employee Salary,2500.01,PROCESSING,ACC002,REF124,CUST002,BR02
STMT003,17/01/2024,Customer Refund,-456.78,COMPLETE,ACC003,REF125,CUST003,BR01
STMT004,18/01/2024,Investment Xfer,10000.00,SETTLED,ACC001,REF126,CUST001,BR03
STMT005,19/01/2024,Utility Payment,234.50,REJECTED,ACC004,REF127,CUST004,BR02
STMT006,20/01/2024,Deposit from Customer,3456.78,SETTLED,ACC002,REF128,CUST002,BR01
STMT007,21/01/2024,Loan Payment,15000.00,PROCESSING,ACC005,REF129,CUST005,BR03
STMT008,22/01/2024,Credit Card Transaction,89.99,SETTLED,ACC003,REF130,CUST003,BR02
STMT009,23/01/2024,Wire Transfer Out,5678.90,COMPLETE,ACC001,REF131,CUST006,BR01
STMT010,24/01/2024,ATM Cash Withdrawal,-200.00,SETTLED,ACC004,REF132,CUST004,BR02
STMT011,25/01/2024,E-commerce Purchase,125.75,SETTLED,ACC002,REF133,CUST002,BR03
STMT012,26/01/2024,Insurance Payment,567.89,PROCESSING,ACC006,REF134,CUST007,BR01
STMT013,27/01/2024,Dividend Distribution,1000.00,SETTLED,ACC001,REF135,CUST001,BR02
STMT014,28/01/2024,POS Transaction,345.67,COMPLETE,ACC003,REF136,CUST003,BR03
STMT015,29/01/2024,Monthly Subscription,29.99,SETTLED,ACC004,REF137,CUST004,BR01
STMT016,30/01/2024,Foreign Exchange,2345.68,PROCESSING,ACC005,REF138,CUST008,BR02
STMT017,01/02/2024,Cash Deposit Transaction,500.00,SETTLED,ACC002,REF139,CUST002,BR01
STMT018,02/02/2024,Utility Bill Settlement,78.45,COMPLETE,ACC006,REF140,CUST007,BR03
STMT019,03/02/2024,Investment Profit,1567.89,SETTLED,ACC001,REF141,CUST001,BR02
STMT020,04/02/2024,Bank Service Fee,-25.00,SETTLED,ACC003,REF142,CUST003,BR01
STMT021,05/02/2024,Unmatched Transaction,999.99,SETTLED,ACC007,REF999,CUST999,BR04
STMT022,06/02/2024,Another Unmatched,777.77,COMPLETE,ACC008,REF888,CUST888,BR05
