ID,Description
1,"Account 877572 traded ISIN US0378331005 worth €4,278 on 2025/06/16"
2,"Executed buy order: acc 207473, ISIN GB0002634946, £97,530, date 10.06.2025"
3,"Account 131244 traded ISIN DE000BASF111 worth ₹5,165 on 2025-06-09"
4,"Executed buy order: acc 308496, ISIN GB0002634946, $74,563, date 17.06.2025"
5,"Executed trade for ISIN AU000000CBA7 on 2025/06/12 from acct 717889, total amount: ¥59,878"
6,"ISIN FI0009000681; 2025/06/11; acc 543143; £ 92,506 trade"
7,"Traded: ISIN JP3890350006, amount ¥ 45,118, Date 2025-06-11, Account 207175"
8,"Executed trade for ISIN DE000BASF111 on 2025/06/10 from acct 733052, total amount: CHF46,082"
9,"Bought securities (ISIN: NL0000235190), amt CAD71,284, Account# 230889, date 17-06-2025"
10,"FX trade: ISIN INE002A01018, acc: 748564, amount AUD83,397, 2025/06/10"
11,"ISIN GB0002634946; 17/06/2025; acc 793384; € 7,006 trade"
12,"Trade alert: ISIN DE000BASF111, acct# 498591, ¥14,238, date: 2025/06/17"
13,"Account 488162 traded ISIN US0378331005 worth CHF22,319 on 2025/06/15"
14,"Bought securities (ISIN: US0378331005), amt AUD92,988, Account# 816751, date 10.06.2025"
15,"Trade confirmation: ISIN XS0971721963, 16/06/2025, acc 864544, £71,010"
16,"Executed buy order: acc 771088, ISIN CH0012032048, ₹36,382, date 14.06.2025"
17,"Settlement of ISIN GB0002634946 for CHF8,331 on acct 340174 at 2025-06-09"
18,"Settlement of ISIN AU000000CBA7 for AUD9,675 on acct 321231 at 2025.06.09"
19,"Trade confirmation: ISIN GB0002634946, 10-06-2025, acc 774079, CAD52,856"
20,"Executed buy order: acc 881177, ISIN FR0000120271, £33,325, date 2025.06.11"
21,"Account 518801 traded ISIN FR0000120271 worth ₹77,484 on 2025/06/11"
22,"Bought securities (ISIN: JP3890350006), amt CAD12,915, Account# 892495, date 2025-06-15"
23,"Bought securities (ISIN: JP3890350006), amt £90,192, Account# 542666, date 2025.06.16"
24,"ISIN AU000000CBA7; 2025.06.09; acc 590785; ₹ 79,104 trade"
25,"Executed buy order: acc 855731, ISIN INE002A01018, $90,166, date 2025-06-15"
26,"ISIN FI0009000681; 2025-06-11; acc 456699; AUD 85,012 trade"
27,"ISIN AU000000CBA7; 17.06.2025; acc 103402; £ 60,470 trade"
28,"ISIN INE002A01018; 16.06.2025; acc 211579; £ 67,542 trade"
29,"Executed buy order: acc 492077, ISIN IT0000062072, ¥21,032, date 17/06/2025"
30,"Executed trade for ISIN FI0009000681 on 15-06-2025 from acct 439902, total amount: $79,504"
31,"Account 351083 traded ISIN DE000BASF111 worth CHF41,306 on 2025-06-14"
32,"Bought securities (ISIN: SE0000108656), amt €12,226, Account# 867460, date 11-06-2025"
33,"Executed buy order: acc 791798, ISIN FI0009000681, £17,828, date 14-06-2025"
34,"Account 736059 traded ISIN JP3890350006 worth AUD70,163 on 16-06-2025"
35,"Settlement of ISIN SE0000108656 for ¥94,447 on acct 426858 at 12-06-2025"
36,"Bought securities (ISIN: CH0012032048), amt CAD16,860, Account# 359947, date 18/06/2025"
37,"FX trade: ISIN CA135087P962, acc: 680828, amount $78,110, 09/06/2025"
38,"Executed trade for ISIN GB0002634946 on 18.06.2025 from acct 842225, total amount: $10,305"
39,"Executed buy order: acc 446479, ISIN GB0002634946, €5,117, date 2025-06-18"
40,"Executed buy order: acc 608993, ISIN GB0002634946, AUD88,684, date 10/06/2025"
41,"Traded: ISIN JP3890350006, amount CAD 32,850, Date 17-06-2025, Account 922733"
42,"Settlement of ISIN GB0002634946 for €13,704 on acct 790993 at 14-06-2025"
43,"Bought securities (ISIN: AU000000CBA7), amt ₹62,213, Account# 864491, date 2025-06-13"
44,"Account 455784 traded ISIN US4592001014 worth ₹96,448 on 2025-06-12"
45,"Traded: ISIN GB0002634946, amount ¥ 71,292, Date 10/06/2025, Account 570405"
46,"Trade alert: ISIN JP3890350006, acct# 361941, AUD61,637, date: 2025-06-11"
47,"Executed trade for ISIN FI0009000681 on 2025.06.18 from acct 783823, total amount: €7,630"
48,"Trade alert: ISIN DE000BASF111, acct# 526156, ¥22,798, date: 13-06-2025"
49,"Executed trade for ISIN GB0002634946 on 10-06-2025 from acct 272634, total amount: ₹8,685"
50,"Executed buy order: acc 399105, ISIN AU000000CBA7, AUD60,638, date 10-06-2025"
51,"Account 299122 traded ISIN US0378331005 worth CAD21,289 on 2025/06/13"
52,"Executed trade for ISIN US4592001014 on 2025-06-10 from acct 428838, total amount: $99,038"
53,"Trade confirmation: ISIN XS0971721963, 2025.06.13, acc 994141, CAD66,909"
54,"Bought securities (ISIN: US4592001014), amt €25,356, Account# 171849, date 2025.06.13"
55,"Account 225710 traded ISIN US0378331005 worth ¥53,923 on 2025.06.16"
